Comente,texto_sem_emojis,texto_sem_emojis_limpo
"@gomes25_ma infelizmente aqui na minha cidade o procon não está resolvendo nada. Registre sim no BC, pelo jeito será somente por ação judicial.","@gomes25_ma infelizmente aqui na minha cidade o procon não está resolvendo nada. Registre sim no BC, pelo jeito será somente por ação judicial.",gomesma infelizmente aqui na minha cidade o procon não está resolvendo nada egistre sim no pelo jeito será somente por ação judicial
"Acho que sim já acionei os advogados, Estou com mais de 70mil presos nas caixinha do nubank... Banco digital e só dor de cabeça!","Acho que sim já acionei os advogados, Estou com mais de 70mil presos nas caixinha do nubank... Banco digital e só dor de cabeça!",cho que sim já acionei os advogados stou com mais de mil presos nas caixinha do nubank anco digital e só dor de cabeça
@nubank já fiz tudo isso e mesmo assim não obtive resposta.,@nubank já fiz tudo isso e mesmo assim não obtive resposta.,nubank já fiz tudo isso e mesmo assim não obtive resposta
"@nubank Já encaminhei o ocorrido pro BC, ainda não fiz BO  e não provoquei o judiciário porque aguardo resposta. Alerto que meus documentos e biometria estão em posse desse Banco que se responsabiliza objetivamente por qualquer dano e/ou fraude superveniente.","@nubank Já encaminhei o ocorrido pro BC, ainda não fiz BO  e não provoquei o judiciário porque aguardo resposta. Alerto que meus documentos e biometria estão em posse desse Banco que se responsabiliza objetivamente por qualquer dano e/ou fraude superveniente.",nubank á encaminhei o ocorrido pro ainda não fiz e não provoquei o judiciário porque aguardo resposta lerto que meus documentos e biometria estão em posse desse anco que se responsabiliza objetivamente por qualquer dano eou fraude superveniente
"Em vez de investir em publicidade — algo que o Nubank não precisa no momento, especialmente diante da nova regra do Banco Central que pode impedir o uso de “bank” no nome —, seria mais interessante melhorar o Nucoin, que atualmente está sem utilidade prática. Os benefícios vivem esgotados, o que acaba desvalorizando a experiência dos clientes.","Em vez de investir em publicidade — algo que o Nubank não precisa no momento, especialmente diante da nova regra do Banco Central que pode impedir o uso de “bank” no nome —, seria mais interessante melhorar o Nucoin, que atualmente está sem utilidade prática. Os benefícios vivem esgotados, o que acaba desvalorizando a experiência dos clientes.",m vez de investir em publicidade algo que o ubank não precisa no momento especialmente diante da nova regra do anco entral que pode impedir o uso de bank no nome seria mais interessante melhorar o ucoin que atualmente está sem utilidade prática s benefícios vivem esgotados o que acaba desvalorizando a experiência dos clientes
"@nubank me deparei com uma notícia aqui agora sobre o fechamento do nubank aqui no Brasil pelo banco central, isso é verdade?? Eu Gosto muito do nubank, @nubank me deu a oportunidade de ter benefícios.","@nubank me deparei com uma notícia aqui agora sobre o fechamento do nubank aqui no Brasil pelo banco central, isso é verdade?? Eu Gosto muito do nubank, @nubank me deu a oportunidade de ter benefícios.",nubank me deparei com uma notícia aqui agora sobre o fechamento do nubank aqui no rasil pelo banco central isso é verdade u osto muito do nubank nubank me deu a oportunidade de ter benefícios
Verificou se o app está atualizado na versão mais recente?,Verificou se o app está atualizado na versão mais recente?,erificou se o app está atualizado na versão mais recente
melhor banco💜,melhor bancopurple_heart,melhor bancopurpleheart
"@gostoxitacoxinha pode trocar, não confia! ele trata os clientes de qualquer jeito, ontem que veio me responder no email pra avisar que tem até 7 dias pra me estorna meu dinheiro, 7 dias kkk e uma graça né!  e minhas contas e minhas necessidades que preciso ter meu dinheiro! uma piada","@gostoxitacoxinha pode trocar, não confia! ele trata os clientes de qualquer jeito, ontem que veio me responder no email pra avisar que tem até 7 dias pra me estorna meu dinheiro, 7 dias kkk e uma graça né!  e minhas contas e minhas necessidades que preciso ter meu dinheiro! uma piada",gostoxitacoxinha pode trocar não confia ele trata os clientes de qualquer jeito ontem que veio me responder no email pra avisar que tem até dias pra me estorna meu dinheiro dias kkk e uma graça né e minhas contas e minhas necessidades que preciso ter meu dinheiro uma piada
"Olá! 
Está surgindo várias notícias a respeito de vocês, que vão parar de funcionar, que estão falindo. 
Várias pessoas da minha família, encerraram conta por conta disso.
Gostaria de saber se é verdade, se podem se posicionar.","Olá! 
Está surgindo várias notícias a respeito de vocês, que vão parar de funcionar, que estão falindo. 
Várias pessoas da minha família, encerraram conta por conta disso.
Gostaria de saber se é verdade, se podem se posicionar.",lá stá surgindo várias notícias a respeito de vocês que vão parar de funcionar que estão falindo árias pessoas da minha família encerraram conta por conta disso ostaria de saber se é verdade se podem se posicionar
Demora muito prá vocês liberar o limites adicionais?,Demora muito prá vocês liberar o limites adicionais?,emora muito prá vocês liberar o limites adicionais
@nubank e aí @nubank cadê meu dinheiro? Vamos ter que resolver isso na justiça?,@nubank e aí @nubank cadê meu dinheiro? Vamos ter que resolver isso na justiça?,nubank e aí nubank cadê meu dinheiro amos ter que resolver isso na justiça
@bea.asasdopassaro,@bea.asasdopassaro,beaasasdopassaro
"@nubank mas ja passaram 10 vezes pro time especialista , sempre a mesma coisa . Me mandam o id de transferência recebida . Eu vou responder sim na DM , mas é a última vez que tento resolver com vocês . Estou com tudo pronto pra mover a ação , não tenho mais saúde pra isso não .","@nubank mas ja passaram 10 vezes pro time especialista , sempre a mesma coisa . Me mandam o id de transferência recebida . Eu vou responder sim na DM , mas é a última vez que tento resolver com vocês . Estou com tudo pronto pra mover a ação , não tenho mais saúde pra isso não .",nubank mas ja passaram vezes pro time especialista sempre a mesma coisa e mandam o id de transferência recebida u vou responder sim na mas é a última vez que tento resolver com vocês stou com tudo pronto pra mover a ação não tenho mais saúde pra isso não
@gostoxitacoxinha faça isso antes de se arrepender ou ser lesado como estou sendo !!! R$1400 que ninguém explica onde foi parar !!!,@gostoxitacoxinha faça isso antes de se arrepender ou ser lesado como estou sendo !!! R$1400 que ninguém explica onde foi parar !!!,gostoxitacoxinha faça isso antes de se arrepender ou ser lesado como estou sendo que ninguém explica onde foi parar
Meu cartão brogueada com meu dinheiro,Meu cartão brogueada com meu dinheiro,eu cartão brogueada com meu dinheiro
Tá saindo uma notícia que sistema vai para de funcionar é verdade?,Tá saindo uma notícia que sistema vai para de funcionar é verdade?,á saindo uma notícia que sistema vai para de funcionar é verdade
@dimaslucio91 sim tá tudo certinho 🥺,@dimaslucio91 sim tá tudo certinho pleading_face,dimaslucio sim tá tudo certinho pleadingface
"Estou do lado da força que acha que esse “banco” deveria fechar de uma vez ao em vez de enganar as pessoas, bloquear o dinheiro delas e não devolver. Absurdo!!!!","Estou do lado da força que acha que esse “banco” deveria fechar de uma vez ao em vez de enganar as pessoas, bloquear o dinheiro delas e não devolver. Absurdo!!!!",stou do lado da força que acha que esse banco deveria fechar de uma vez ao em vez de enganar as pessoas bloquear o dinheiro delas e não devolver bsurdo
@nubank vão devolver os juros das minhas contas atrasadas tbm?,@nubank vão devolver os juros das minhas contas atrasadas tbm?,nubank vão devolver os juros das minhas contas atrasadas tbm
Eu estou do lado do povo !,Eu estou do lado do povo !,u estou do lado do povo
@nubank se Campos neto for contrato....preparem-sr pra debandada de clientes,@nubank se Campos neto for contrato....preparem-sr pra debandada de clientes,nubank se ampos neto for contratopreparemsr pra debandada de clientes
Juros altíssimo para empréstimos,Juros altíssimo para empréstimos,uros altíssimo para empréstimos
"Cuide do seu dinheiro, aos poucos eles roubam seu dinheiro. CUIDADO, É GOLPE. JÁ PERDI MILHARES DE DÓLARES COM ELES!","Cuide do seu dinheiro, aos poucos eles roubam seu dinheiro. CUIDADO, É GOLPE. JÁ PERDI MILHARES DE DÓLARES COM ELES!",uide do seu dinheiro aos poucos eles roubam seu dinheiro É Á Ó
@nubank fiz e me arrependi vou pagar o triplo,@nubank fiz e me arrependi vou pagar o triplo,nubank fiz e me arrependi vou pagar o triplo
"@nubank 10 dias úteis? Pra mim vocês deram 7, e se até esse prazo o meu dinheiro também não estiver em conta irei entrar em contato no procom e podem aguardar o processo. É uma falta de respeito gigantesca com a gente isso.","@nubank 10 dias úteis? Pra mim vocês deram 7, e se até esse prazo o meu dinheiro também não estiver em conta irei entrar em contato no procom e podem aguardar o processo. É uma falta de respeito gigantesca com a gente isso.",nubank dias úteis ra mim vocês deram e se até esse prazo o meu dinheiro também não estiver em conta irei entrar em contato no procom e podem aguardar o processo É uma falta de respeito gigantesca com a gente isso
@kel.will97 tinham me dado 5 dias corridos.. graças a Deus ontem consegui. Já excluiu até o app depois de todo transtorno.,@kel.will97 tinham me dado 5 dias corridos.. graças a Deus ontem consegui. Já excluiu até o app depois de todo transtorno.,kelwill tinham me dado dias corridos graças a eus ontem consegui á excluiu até o app depois de todo transtorno
"Campos Neto, que horror!!!!, vamos correr pra tirar nosso dinheiro antes que ele faça com o banco o que fez com o banco central","Campos Neto, que horror!!!!, vamos correr pra tirar nosso dinheiro antes que ele faça com o banco o que fez com o banco central",ampos eto que horror vamos correr pra tirar nosso dinheiro antes que ele faça com o banco o que fez com o banco central
Do lado que não tem o Campos Neto.,Do lado que não tem o Campos Neto.,o lado que não tem o ampos eto
Tirem o dinheiro de vocês da @nubank eles bloqueiam do nada!!!!!!!,Tirem o dinheiro de vocês da @nubank eles bloqueiam do nada!!!!!!!,irem o dinheiro de vocês da nubank eles bloqueiam do nada
Acabando com minha conta agora. Campos Neto não dá,Acabando com minha conta agora. Campos Neto não dá,cabando com minha conta agora ampos eto não dá
"Poderiam postar um story alertando de golpes que estão ocorrendo com o nome de vocês. Hoje eu cai num golpe e tô puto pra crlh. E tem um monte de gente que caiu também.  Somos clientes então por respeito aos clientes de vocês, deveriam fazer esse alerta diariamente para pessoas como eu, não caírem mais em golpes","Poderiam postar um story alertando de golpes que estão ocorrendo com o nome de vocês. Hoje eu cai num golpe e tô puto pra crlh. E tem um monte de gente que caiu também.  Somos clientes então por respeito aos clientes de vocês, deveriam fazer esse alerta diariamente para pessoas como eu, não caírem mais em golpes",oderiam postar um story alertando de golpes que estão ocorrendo com o nome de vocês oje eu cai num golpe e tô puto pra crlh tem um monte de gente que caiu também omos clientes então por respeito aos clientes de vocês deveriam fazer esse alerta diariamente para pessoas como eu não caírem mais em golpes
O lado de vcs ta bem claro com o Campos Neto 🤥,O lado de vcs ta bem claro com o Campos Neto lying_face,lado de vcs ta bem claro com o ampos eto lyingface
"Sempre utilizei o banco Nubank e nunca tive problemas. Pessoa física e jurídica. Infelizmente por conta de alguns fornecedores não consegui pagar minha conta com o branco e não estou nada satisfeita com tudo o que estou vivendo. Detesto falar com robô, gosto de falar com ser humano.","Sempre utilizei o banco Nubank e nunca tive problemas. Pessoa física e jurídica. Infelizmente por conta de alguns fornecedores não consegui pagar minha conta com o branco e não estou nada satisfeita com tudo o que estou vivendo. Detesto falar com robô, gosto de falar com ser humano.",empre utilizei o banco ubank e nunca tive problemas essoa física e jurídica nfelizmente por conta de alguns fornecedores não consegui pagar minha conta com o branco e não estou nada satisfeita com tudo o que estou vivendo etesto falar com robô gosto de falar com ser humano
Tudo vai depender se você trouxer o BTS p Brasil 😂💜,Tudo vai depender se você trouxer o BTS p Brasil face_with_tears_of_joypurple_heart,udo vai depender se você trouxer o p rasil facewithtearsofjoypurpleheart
Devolvam meus 7mil @nubank @bancocentraldobrasil,Devolvam meus 7mil @nubank @bancocentraldobrasil,evolvam meus mil nubank bancocentraldobrasil
Como gente tem conta como vai ficar?,Como gente tem conta como vai ficar?,omo gente tem conta como vai ficar
Vcs vao mudar nome?,Vcs vao mudar nome?,cs vao mudar nome
"@nubank Já foi resolvido, obrigada.","@nubank Já foi resolvido, obrigada.",nubank á foi resolvido obrigada
"@denerdickson eu tenho um curso que ensino a obter cartões, aumentar limite e etc. No meu canal do YouTube, eu faço cálculos, mostrando acúmulo de pontos e milhas. Inclusive, eu gravei um vídeo falando do Ultravioleta.","@denerdickson eu tenho um curso que ensino a obter cartões, aumentar limite e etc. No meu canal do YouTube, eu faço cálculos, mostrando acúmulo de pontos e milhas. Inclusive, eu gravei um vídeo falando do Ultravioleta.",denerdickson eu tenho um curso que ensino a obter cartões aumentar limite e etc o meu canal do ouube eu faço cálculos mostrando acúmulo de pontos e milhas nclusive eu gravei um vídeo falando do ltravioleta
Se forem trocar de nome eu aconselho Nu pay💜🙌,Se forem trocar de nome eu aconselho Nu paypurple_heartraising_hands,e forem trocar de nome eu aconselho u paypurpleheartraisinghands
Tem algum risco de vcs sair do ar mesmo? Ou e só fake,Tem algum risco de vcs sair do ar mesmo? Ou e só fake,em algum risco de vcs sair do ar mesmo u e só fake
"TB queria saber ,acabei de vê uma postagem sobre!","TB queria saber ,acabei de vê uma postagem sobre!",queria saber acabei de vê uma postagem sobre
Sim! Meu Nu ou NUBANK estou contigo de qualquer maneira 💜❤️💜 Love Love Love Tu Nu!👏🏻💜👏🏻💜👏🏻💜👏🏻,Sim! Meu Nu ou NUBANK estou contigo de qualquer maneira purple_heartred_heartpurple_heart Love Love Love Tu Nu!clapping_hands_light_skin_tonepurple_heartclapping_hands_light_skin_tonepurple_heartclapping_hands_light_skin_tonepurple_heartclapping_hands_light_skin_tone,im eu u ou estou contigo de qualquer maneira purpleheartredheartpurpleheart ove ove ove u uclappinghandslightskintonepurpleheartclappinghandslightskintonepurpleheartclappinghandslightskintonepurpleheartclappinghandslightskintone
"💜❤️💜Ele já é Nu para mim faz tempo, e continua com orgulho Meu bank. Nada irá mudar, continuará  Rico, Poderoso e InovadorNé, Nu 😘! Os outros , são os outros que não criam e tudo copiam do Nu 💜💖💜😂😘","purple_heartred_heartpurple_heartEle já é Nu para mim faz tempo, e continua com orgulho Meu bank. Nada irá mudar, continuará  Rico, Poderoso e InovadorNé, Nu face_blowing_a_kiss! Os outros , são os outros que não criam e tudo copiam do Nu purple_heartsparkling_heartpurple_heartface_with_tears_of_joyface_blowing_a_kiss",purpleheartredheartpurpleheartle já é u para mim faz tempo e continua com orgulho eu bank ada irá mudar continuará ico oderoso e novadoré u faceblowingakiss s outros são os outros que não criam e tudo copiam do u purpleheartsparklingheartpurpleheartfacewithtearsofjoyfaceblowingakiss
"Estou com medo disso, sempre guardo dinheiro lá, amo meu limite de crédito que sempre vem aumentando. Mas se ele sumir oque acontece. 😰","Estou com medo disso, sempre guardo dinheiro lá, amo meu limite de crédito que sempre vem aumentando. Mas se ele sumir oque acontece. anxious_face_with_sweat",stou com medo disso sempre guardo dinheiro lá amo meu limite de crédito que sempre vem aumentando as se ele sumir oque acontece anxiousfacewithsweat
"@tallezito a cada 3 meses eles aumenta meu crédito, movimento muito a conta, meu limite de 50 reias em quase 2 anos já está quase em 6 mil. Movimente!","@tallezito a cada 3 meses eles aumenta meu crédito, movimento muito a conta, meu limite de 50 reias em quase 2 anos já está quase em 6 mil. Movimente!",tallezito a cada meses eles aumenta meu crédito movimento muito a conta meu limite de reias em quase anos já está quase em mil ovimente
@rosicler_santana 💜💖💜Contigo e Equilibrada!🫶🏻,@rosicler_santana purple_heartsparkling_heartpurple_heartContigo e Equilibrada!heart_hands_light_skin_tone,rosiclersantana purpleheartsparklingheartpurpleheartontigo e quilibradahearthandslightskintone
"tomara, acabaram de bloquear minha conta indevidamente e ainda por cima não me deixa fazer nenhuma tipo de transferência, safadeza total.","tomara, acabaram de bloquear minha conta indevidamente e ainda por cima não me deixa fazer nenhuma tipo de transferência, safadeza total.",tomara acabaram de bloquear minha conta indevidamente e ainda por cima não me deixa fazer nenhuma tipo de transferência safadeza total
"@prisilvaoficiall 3 anos que eu deixava a minha conta movimentada e nada de aumento, nem nome sujo eu tenho e olha que não era pouca coisa.","@prisilvaoficiall 3 anos que eu deixava a minha conta movimentada e nada de aumento, nem nome sujo eu tenho e olha que não era pouca coisa.",prisilvaoficiall anos que eu deixava a minha conta movimentada e nada de aumento nem nome sujo eu tenho e olha que não era pouca coisa
"Vocês cancelaram minha conta e não me deram uma um motivo até o momento e não devolve o meu dinheiro , já  mandei minha conta para o estorno e não resolve , ligo e não resolve , sempre uma desculpa que deu erro 
Isso é um absurdo, QUERO O MEU DINHEIRO","Vocês cancelaram minha conta e não me deram uma um motivo até o momento e não devolve o meu dinheiro , já  mandei minha conta para o estorno e não resolve , ligo e não resolve , sempre uma desculpa que deu erro 
Isso é um absurdo, QUERO O MEU DINHEIRO",ocês cancelaram minha conta e não me deram uma um motivo até o momento e não devolve o meu dinheiro já mandei minha conta para o estorno e não resolve ligo e não resolve sempre uma desculpa que deu erro sso é um absurdo
@nubank 🤝,@nubank handshake,nubank handshake
"Já clicou em ""saldo em conta""? Lá vai aparecer a opção depositar. Em seguida, na parte debaixo tem ""mais opções"" e depósito em dinheiro.","Já clicou em ""saldo em conta""? Lá vai aparecer a opção depositar. Em seguida, na parte debaixo tem ""mais opções"" e depósito em dinheiro.",á clicou em saldo em conta á vai aparecer a opção depositar m seguida na parte debaixo tem mais opções e depósito em dinheiro
@nubank 💜💖💜,@nubank purple_heartsparkling_heartpurple_heart,nubank purpleheartsparklingheartpurpleheart
"Com um problema enorme que vocês não conseguem solucionar !!! Recebi uma transferência no valor de R$1400 no dia 16/04/2025 , e a mesma entrou em análise . Algumas horas depois vocês efetuaram a devolução do valor e bloquearam a minha conta ! O remetente da transação , GW soluções financeiras Ltda , alega não ter recebido o valor de volta e pediu pra que eu enviasse o voucher com os detalhes da transação de devolução , sendo eles : data e hora , id de devolução , e valor da devolução ! Pedi por várias vezes para o nubank os detalhes e até hoje ainda não fui atendido . Pedi por e-mail... Abri um chamado no reclame aqui ... E me forneceram o id da transação recebida ... Que não serve para eu poder reaver o valor junto a empresa responsável pelo depósito !!! Eu peço encarecidamente que resolvam este problema ... Caso contrário , entrarei com uma ação no procom ... Com todos os prints e provas de que o dinheiro não foi devolvido , e que o banco Nubank está se negando a enviar o voucher com os detalhes desta transação , impedindo com que identificamos se realmente o dinheiro foi devolvido para o destino informado !","Com um problema enorme que vocês não conseguem solucionar !!! Recebi uma transferência no valor de R$1400 no dia 16/04/2025 , e a mesma entrou em análise . Algumas horas depois vocês efetuaram a devolução do valor e bloquearam a minha conta ! O remetente da transação , GW soluções financeiras Ltda , alega não ter recebido o valor de volta e pediu pra que eu enviasse o voucher com os detalhes da transação de devolução , sendo eles : data e hora , id de devolução , e valor da devolução ! Pedi por várias vezes para o nubank os detalhes e até hoje ainda não fui atendido . Pedi por e-mail... Abri um chamado no reclame aqui ... E me forneceram o id da transação recebida ... Que não serve para eu poder reaver o valor junto a empresa responsável pelo depósito !!! Eu peço encarecidamente que resolvam este problema ... Caso contrário , entrarei com uma ação no procom ... Com todos os prints e provas de que o dinheiro não foi devolvido , e que o banco Nubank está se negando a enviar o voucher com os detalhes desta transação , impedindo com que identificamos se realmente o dinheiro foi devolvido para o destino informado !",om um problema enorme que vocês não conseguem solucionar ecebi uma transferência no valor de no dia e a mesma entrou em análise lgumas horas depois vocês efetuaram a devolução do valor e bloquearam a minha conta remetente da transação soluções financeiras tda alega não ter recebido o valor de volta e pediu pra que eu enviasse o voucher com os detalhes da transação de devolução sendo eles data e hora id de devolução e valor da devolução edi por várias vezes para o nubank os detalhes e até hoje ainda não fui atendido edi por email bri um chamado no reclame aqui me forneceram o id da transação recebida ue não serve para eu poder reaver o valor junto a empresa responsável pelo depósito u peço encarecidamente que resolvam este problema aso contrário entrarei com uma ação no procom om todos os prints e provas de que o dinheiro não foi devolvido e que o banco ubank está se negando a enviar o voucher com os detalhes desta transação impedindo com que identificamos se realmente o dinheiro foi devolvido para o destino informado
"@francisco.adv.pereira notificaram pelo email, eu não vi, já mandei os dados e até agora não me deram nenhum retorno.","@francisco.adv.pereira notificaram pelo email, eu não vi, já mandei os dados e até agora não me deram nenhum retorno.",franciscoadvpereira notificaram pelo email eu não vi já mandei os dados e até agora não me deram nenhum retorno
"Amei todas as imagens com descrição... #PraCegoVer Parabens Nubank. Por isso nós cegos, gostamos tanto de ser #SerNu","Amei todas as imagens com descrição... #PraCegoVer Parabens Nubank. Por isso nós cegos, gostamos tanto de ser #SerNu",mei todas as imagens com descrição raegoer arabens ubank or isso nós cegos gostamos tanto de ser eru
@nubank 💜,@nubank purple_heart,nubank purpleheart
Minha caixinha nubank parou de atualizar,Minha caixinha nubank parou de atualizar,inha caixinha nubank parou de atualizar
@dimaslucio91 eu tentei não aparace nada de depósito 😢,@dimaslucio91 eu tentei não aparace nada de depósito crying_face,dimaslucio eu tentei não aparace nada de depósito cryingface
"@jakeline_alvees caraca, que situação complicada heim, pelo jeito já vou ter que trocar de banco! Com medo que possa acontecer isso comigo.","@jakeline_alvees caraca, que situação complicada heim, pelo jeito já vou ter que trocar de banco! Com medo que possa acontecer isso comigo.",jakelinealvees caraca que situação complicada heim pelo jeito já vou ter que trocar de banco om medo que possa acontecer isso comigo
"@magrellocaua é tanta reclamação aqui, que já quero trocar de banco! Deus me livre","@magrellocaua é tanta reclamação aqui, que já quero trocar de banco! Deus me livre",magrellocaua é tanta reclamação aqui que já quero trocar de banco eus me livre
Pior banco digital. Cancelei meu cartão de crédito e logo vou cancelar a conta também. Estou só esperando terminar de pagar o que resta nele,Pior banco digital. Cancelei meu cartão de crédito e logo vou cancelar a conta também. Estou só esperando terminar de pagar o que resta nele,ior banco digital ancelei meu cartão de crédito e logo vou cancelar a conta também stou só esperando terminar de pagar o que resta nele
"Nossa que porcaria, não aparece as informações do cartão de crédito","Nossa que porcaria, não aparece as informações do cartão de crédito",ossa que porcaria não aparece as informações do cartão de crédito
@thiago_pinto88 o meu tá ruim tbm não aparece as informações do cartão de crédito,@thiago_pinto88 o meu tá ruim tbm não aparece as informações do cartão de crédito,thiagopinto o meu tá ruim tbm não aparece as informações do cartão de crédito
"@nubank o que adianta, vai mudar alguma coisa? Era cliente Nubank a quase 10 anos e meu limite estabilizou. Então preferi seguir com a conta de um banco tradicional mesmo","@nubank o que adianta, vai mudar alguma coisa? Era cliente Nubank a quase 10 anos e meu limite estabilizou. Então preferi seguir com a conta de um banco tradicional mesmo",nubank o que adianta vai mudar alguma coisa ra cliente ubank a quase anos e meu limite estabilizou ntão preferi seguir com a conta de um banco tradicional mesmo
"Eu desanimei com a nubank, a instituição é pessima é muita coisa... estou esperando só resolver umas coisas e vou excluir a minha conta!","Eu desanimei com a nubank, a instituição é pessima é muita coisa... estou esperando só resolver umas coisas e vou excluir a minha conta!",u desanimei com a nubank a instituição é pessima é muita coisa estou esperando só resolver umas coisas e vou excluir a minha conta
"@nathiyy o meu continua ruim.Ligo e dizem que o problema é no meu celular, o qual sempre usei o app","@nathiyy o meu continua ruim.Ligo e dizem que o problema é no meu celular, o qual sempre usei o app",nathiyy o meu continua ruimigo e dizem que o problema é no meu celular o qual sempre usei o app
Alguém aí tá com defeito com o cartão de crédito?  Não tá aparecendo o valor pra pagar,Alguém aí tá com defeito com o cartão de crédito?  Não tá aparecendo o valor pra pagar,lguém aí tá com defeito com o cartão de crédito ão tá aparecendo o valor pra pagar
"@nubank o pobrema é no aplicativo mesmo! O erro está do mesmo jeito com outras pessoas,e já está na última versão! Não vou passar minhas informações bancarias por ligações","@nubank o pobrema é no aplicativo mesmo! O erro está do mesmo jeito com outras pessoas,e já está na última versão! Não vou passar minhas informações bancarias por ligações",nubank o pobrema é no aplicativo mesmo erro está do mesmo jeito com outras pessoase já está na última versão ão vou passar minhas informações bancarias por ligações
Quero pagar minha fatura e não consigo só dá erro,Quero pagar minha fatura e não consigo só dá erro,uero pagar minha fatura e não consigo só dá erro
Não é só vc q está com esse problema,Não é só vc q está com esse problema,ão é só vc q está com esse problema
"Não consigo pagar a fatura do cartão, sempre aparece não conseguimos carregar suas opções de pagamento","Não consigo pagar a fatura do cartão, sempre aparece não conseguimos carregar suas opções de pagamento",ão consigo pagar a fatura do cartão sempre aparece não conseguimos carregar suas opções de pagamento
"@jose_eduardo578 Cara, estou com mesmo problema, não aparece o Valor.","@jose_eduardo578 Cara, estou com mesmo problema, não aparece o Valor.",joseeduardo ara estou com mesmo problema não aparece o alor
"@gil_costa87 aparece escrito "" tivemos um pobrema para carregar as informações do seu cartão?","@gil_costa87 aparece escrito "" tivemos um pobrema para carregar as informações do seu cartão?",gilcosta aparece escrito tivemos um pobrema para carregar as informações do seu cartão
por que o cartão não está funcionando? quando vão resolver a situação?,por que o cartão não está funcionando? quando vão resolver a situação?,por que o cartão não está funcionando quando vão resolver a situação
"@jose_eduardo578 sim, aqui tá igual","@jose_eduardo578 sim, aqui tá igual",joseeduardo sim aqui tá igual
Os valores do meu cartão não estão aparecendo no app,Os valores do meu cartão não estão aparecendo no app,s valores do meu cartão não estão aparecendo no app
"@nubank certo irei fazer, mais isso não está acontecendo somente no meu, está acontecendo com outras pessoas também, resolvam isso","@nubank certo irei fazer, mais isso não está acontecendo somente no meu, está acontecendo com outras pessoas também, resolvam isso",nubank certo irei fazer mais isso não está acontecendo somente no meu está acontecendo com outras pessoas também resolvam isso
"Nubank libera meu dinheiro!!! Um absurdo bloquearem minha conta, já fiz tudo o que foi pedido por vocês, nem por chat e nem por telefone conseguem me auxiliar, apenas por email e é uma demora absurda!!!!","Nubank libera meu dinheiro!!! Um absurdo bloquearem minha conta, já fiz tudo o que foi pedido por vocês, nem por chat e nem por telefone conseguem me auxiliar, apenas por email e é uma demora absurda!!!!",ubank libera meu dinheiro m absurdo bloquearem minha conta já fiz tudo o que foi pedido por vocês nem por chat e nem por telefone conseguem me auxiliar apenas por email e é uma demora absurda
@nubank não recebi email fom o prazo!,@nubank não recebi email fom o prazo!,nubank não recebi email fom o prazo
"@jose_eduardo578 pra mim também não está aparecendo. Está dando erro para carregar as informações e o próprio app sugerindo problemas na internet, mas a minha internet está funcionando normalmente!  É o app que está com problema.","@jose_eduardo578 pra mim também não está aparecendo. Está dando erro para carregar as informações e o próprio app sugerindo problemas na internet, mas a minha internet está funcionando normalmente!  É o app que está com problema.",joseeduardo pra mim também não está aparecendo stá dando erro para carregar as informações e o próprio app sugerindo problemas na internet mas a minha internet está funcionando normalmente É o app que está com problema
@jose_eduardo578 sim,@jose_eduardo578 sim,joseeduardo sim
Não consigo fazer Pix no cartão de crédito! O que está havendo?,Não consigo fazer Pix no cartão de crédito! O que está havendo?,ão consigo fazer ix no cartão de crédito que está havendo
"@nubank não é a internet, é o aplicativo de vocês!!!!","@nubank não é a internet, é o aplicativo de vocês!!!!",nubank não é a internet é o aplicativo de vocês
@nubank não é isso nubank. O problema é no app,@nubank não é isso nubank. O problema é no app,nubank não é isso nubank problema é no app
"@jose_eduardo578 estou com o mesmo problema, fiz o pagamento da fatura e agora não consigo constar mais nada está dando erro","@jose_eduardo578 estou com o mesmo problema, fiz o pagamento da fatura e agora não consigo constar mais nada está dando erro",joseeduardo estou com o mesmo problema fiz o pagamento da fatura e agora não consigo constar mais nada está dando erro
"@nubank está atualizado até pq eu não deixo o app no celular, eu baixo sempre que preciso e o problema é o aplicativo","@nubank está atualizado até pq eu não deixo o app no celular, eu baixo sempre que preciso e o problema é o aplicativo",nubank está atualizado até pq eu não deixo o app no celular eu baixo sempre que preciso e o problema é o aplicativo
Melhor banco 🏦🏦🏦 do Brasil.,Melhor banco bankbankbank do Brasil.,elhor banco bankbankbank do rasil
@nubank Mas eu tenho saldo pra fazer! Não é esse o problema!,@nubank Mas eu tenho saldo pra fazer! Não é esse o problema!,nubank as eu tenho saldo pra fazer ão é esse o problema
💜💜💜,purple_heartpurple_heartpurple_heart,purpleheartpurpleheartpurpleheart
@nubank então oriente sua equipe porque eles só dizem que o problema é da nossa internet,@nubank então oriente sua equipe porque eles só dizem que o problema é da nossa internet,nubank então oriente sua equipe porque eles só dizem que o problema é da nossa internet
💜💜,purple_heartpurple_heart,purpleheartpurpleheart
"Campos Neto ? Como assim nubank ? Poxa, comecei a pensar na possibilidade de mudar de banco ✌🏼","Campos Neto ? Como assim nubank ? Poxa, comecei a pensar na possibilidade de mudar de banco victory_hand_medium-light_skin_tone",ampos eto omo assim nubank oxa comecei a pensar na possibilidade de mudar de banco victoryhandmediumlightskintone
@nalvastss e ai? Vc recebeu de volta?,@nalvastss e ai? Vc recebeu de volta?,nalvastss e ai c recebeu de volta
